GIN,middle,0.684013893,2.130278863
CHN,low,0.684008921,2.078916314
ARM,low,0.592859871,2.056359692
PRT,Q1,0.592580434,2.045950247
RWA,middle,0.592220788,2.027447311
CMR,middle,0.592187849,2.009879669
MNG,lowest ,0.592132449,1.986576473
COL,middle,0.591875701,1.97156453
MWI,middle,0.589826501,1.933163318
BGR,Q1,0.589801118,1.919560955
IND,low,0.589550352,1.905360097
KHM,middle,0.559723401,1.87761704
TGO,low,0.559598701,1.846613159
GTM,middle,0.559493814,1.845280193
LAO,middle,0.559064447,1.780317368
JAM,low,0.559035399,1.772069034
MDG,low,0.558778415,1.772038853
VNM,low,0.55872257,1.729722807
SLV,low,0.554361137,1.657697015
TUR,Q1,0.553953733,1.606424661
NPL,middle,0.551409347,1.585760577
ROU,Q1,0.551333521,1.559123213
NGA,low,0.550648373,1.424615027
CIV,middle,0.547934516,1.371570557
UGA,middle,0.547762582,1.358995417
THA,low,0.547654886,1.337910679
PHL,low,0.540148915,1.329453257
PAK,low,0.535143487,1.241581977
AZE,lowest ,0.528551037,1.240499748
ZMB,low,0.528178886,1.203700532
PER,low,0.528007025,1.138486046
BRA,low,0.525356116,1.136749956
BOL,low,0.511878572,1.135918719
SEN,low,0.51101961,1.099328766
TZA,low,0.51057988,1.098080554
MAR,low,0.510187475,1.082310125
MUS,lowest ,0.507227331,1.063080322
EGY,lowest ,0.507170362,1.040241182
LKA,low,0.498994138,1.019560371
PRY,low,0.496943243,0.998420812
ETH,middle,0.49657579,0.997433462
ZAF,lowest ,0.496476678,0.985178095
MEX,lowest ,0.493081513,0.982836828
KEN,low,0.487417657,0.962375635
MOZ,low,0.486429505,0.960830526
KGZ,lowest ,0.486214418,0.933079086
RUS,lowest ,0.485803495,0.932130193
LAO,low,0.485446905,0.926386582
BFA,low,0.485243134,0.910676924
ALB,low,0.485074514,0.908615023
ARM,lowest ,0.484753886,0.901650544
UKR,lowest ,0.4845206,0.852121385
CMR,low,0.484480207,0.829081926
COL,low,0.48388426,0.810454307
HND,low,0.480324863,0.80274375
GHA,low,0.479853336,0.800672485
JOR,lowest ,0.478389743,0.790832599
KHM,low,0.478259744,0.786085169
IDN,lowest ,0.477617463,0.776173632
BGD,low,0.44742041,0.774359352
GTM,low,0.443782909,0.766827842
NAM,lowest ,0.442709423,0.745483794
GIN,low,0.44243026,0.734248127
SLV,lowest ,0.442156723,0.730593902
IND,lowest ,0.441595527,0.703335235
JAM,lowest ,0.265981857,0.690191311
RWA,low,0.265887842,0.688759363
VNM,lowest ,0.265769662,0.676505578
NIC,lowest ,0.255670809,0.669125635
BEN,lowest ,0.254747568,0.648223285
CHN,lowest ,0.253370947,0.645767447
NPL,low,0.16307372,0.609191142
PAK,lowest ,0.162009626,0.560270246
THA,lowest ,0.139414792,0.559298543
CIV,low,0.138465779,0.522769879
MAR,lowest ,0.137328146,0.51500041
MWI,low,0.13569446,0.479904675
PER,lowest ,0.135493409,0.4632642
UGA,low,0.134565075,0.442958948
TGO,lowest ,0.133724857,0.438463777
LKA,lowest ,0.132810473,0.418182305
BRA,lowest ,0.131593563,0.40066309
PHL,lowest ,0.124235801,0.395951709
ALB,lowest ,0.114089892,0.366582806
NGA,lowest ,0.114061799,0.363395037
ETH,low,0.089886588,0.359140768
SEN,lowest ,0.085505686,0.343251406
BGD,lowest ,0.083862934,0.324042952
BOL,lowest ,0.062295889,0.322171922
PRY,lowest ,0.061899257,0.302233487
GTM,lowest ,0.061491792,0.296498715
KEN,lowest ,0.060659479,0.294683457
GHA,lowest ,0.054894348,0.291882224
KHM,lowest ,0.052433984,0.289852679
COL,lowest ,0.050800437,0.279954562
ZMB,lowest ,0.04901142,0.27276248
CMR,lowest ,0.047010884,0.261765179
BFA,lowest ,0.04432721,0.249918808
TZA,lowest ,0.041706871,0.244566482
GIN,lowest ,0.034487396,0.238180795
MDG,lowest ,0.033066524,0.236360336
LAO,lowest ,0.029597241,0.231614691
MOZ,lowest ,0.028776449,0.227037071
NPL,lowest ,0.025043815,0.218504235
HND,lowest ,0.021087131,0.213149095
ETH,lowest ,0.020379757,0.182218426
CIV,lowest ,0.010742713,0.176726476
UGA,lowest ,0.008700248,0.133286863
RWA,lowest ,0.003963346,0.102386864
MWI,lowest ,0.002308814,0.093691239
